customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
17,26.0,Male,East,Primary,Salaried,409343.26,325298.91,Home,574.0,4,163,81.0,2016-12-17,1
18,27.0,Female,West,Graduate,Salaried,432938.33,418450.92,Car,714.0,1,166,39.64,2016-08-11,0
19,62.0,Other,East,Secondary,Unemployed,734084.01,162796.36,Business,729.0,1,170,56.02,2021-10-21,0
20,57.0,Female,West,Secondary,Self-Employed,559765.66,422027.58,Car,581.0,3,273,86.26,2022-03-22,1
21,45.0,Male,East,Post-Graduate,Unemployed,563263.65,327093.45,Business,757.0,7,273,10.78,2020-10-05,1
22,34.0,Female,South,Secondary,Unemployed,333792.21,326224.95,Business,582.0,2,180,11.54,2020-02-18,1
23,58.0,Male,North,Primary,Salaried,889648.89,176897.65,Car,757.0,2,41,30.74,2018-10-09,0
24,37.0,Other,West,Primary,Self-Employed,703195.23,298283.48,Business,713.0,3,166,58.62,2020-06-28,0
25,53.0,Other,West,Graduate,Unemployed,597104.17,328589.81,Home,728.0,3,114,91.91,2023-08-08,1
26,62.0,Other,North,Graduate,Unemployed,512774.7,267381.45,Education,641.0,1,147,41.68,2026-04-20,0
27,46.0,Male,East,Post-Graduate,Salaried,643295.23,357797.61,Business,609.0,2,174,35.1,2018-09-20,0
28,45.0,Male,East,Secondary,Unemployed,638431.28,430867.07,Home,765.0,2,266,45.68,2020-04-26,0
29,45.0,Other,East,Secondary,Salaried,416762.22,329301.97,Education,635.0,1,234,67.12,2017-10-17,0
30,57.0,Male,North,Graduate,Self-Employed,568066.29,322475.06,Home,691.0,1,290,40.62,2016-10-23,0
31,60.0,Male,East,Graduate,Salaried,990095.04,319282.65,Home,723.0,0,66,69.46,2025-07-10,0
32,43.0,Male,North,Primary,Unemployed,282282.05,20000.0,Business,694.0,2,248,25.67,2024-08-20,0
33,21.0,Male,South,Secondary,Unemployed,1045322.77,198387.65,Business,556.0,0,108,66.12,2016-12-01,1
34,42.0,Other,South,Graduate,Unemployed,514217.73,618323.43,Other,762.0,1,163,23.48,2016-06-19,0
35,30.0,Female,South,Secondary,Unemployed,710954.86,416195.11,Education,605.0,2,241,65.23,2023-03-09,0
36,55.0,Female,East,Post-Graduate,Unemployed,585118.66,300272.04,Business,740.0,6,171,67.56,2025-03-19,1
37,22.0,Male,South,Secondary,Salaried,446216.58,616697.65,Education,734.0,3,31,18.57,2018-06-25,0
38,61.0,Male,South,Secondary,Salaried,617743.1,316544.94,Home,645.0,2,109,38.95,2022-07-13,0
39,56.0,Other,North,Secondary,Salaried,1087820.02,293987.23,Home,722.0,0,236,78.3,2018-05-07,1
40,52.0,Female,North,Secondary,Self-Employed,554027.07,382760.55,Business,623.0,3,115,38.97,2025-12-11,0
41,40.0,Male,South,Post-Graduate,Salaried,545579.7,464816.53,Business,746.0,0,292,55.42,2023-11-05,0
42,29.0,Female,South,Primary,Salaried,803377.41,221521.79,Business,755.0,2,252,82.01,2025-05-22,1
43,41.0,Female,West,Post-Graduate,Self-Employed,681041.59,280478.54,Home,687.0,2,44,57.06,2019-10-26,0
44,34.0,Other,North,Primary,Self-Employed,748789.26,415601.75,Education,733.0,1,61,92.81,2022-11-22,1
45,64.0,Male,South,Secondary,Salaried,80000.0,565564.73,Other,655.0,0,95,68.48,2022-02-24,0
46,49.0,Female,South,Post-Graduate,Salaried,800953.26,308335.82,Education,684.0,1,141,22.46,2016-06-26,0
47,48.0,Female,South,Primary,Self-Employed,237978.91,88880.43,Other,622.0,4,192,10.97,2020-04-11,0
48,45.0,Male,North,Primary,Salaried,546638.21,538523.66,Car,717.0,4,210,50.61,2021-11-28,0
49,38.0,Male,West,Post-Graduate,Self-Employed,514199.69,368651.47,Car,685.0,1,246,69.11,2018-08-20,0
50,36.0,Female,North,Secondary,Self-Employed,4229380.399999999,916873.48,Home,635.0,3,31,91.49,2020-12-14,1
51,48.0,Female,East,Post-Graduate,Self-Employed,572267.02,446446.37,Business,563.0,1,205,29.5,2019-11-03,1
52,26.0,Other,West,Secondary,Salaried,796001.6,20000.0,Education,708.0,2,65,16.48,2026-04-30,0
53,47.0,Male,North,Primary,Unemployed,269941.7,574718.81,Education,774.0,2,82,43.4,2018-05-03,0
54,25.0,Male,North,Post-Graduate,Unemployed,482706.09,195878.11,Other,688.0,0,25,68.8,2017-01-05,0
55,24.0,Male,North,Primary,Salaried,979058.33,346868.77,Home,654.0,0,70,33.35,2024-11-09,0
56,23.0,Other,North,Secondary,Self-Employed,200219.13,406742.23,Home,590.0,2,173,52.34,2022-01-10,1
57,34.0,Other,South,Primary,Unemployed,894824.3,310127.77,Home,844.0,2,226,76.7,2024-06-14,1
58,35.0,Female,East,Graduate,Salaried,1038835.21,155261.48,Education,734.0,1,117,64.11,2021-01-20,0
59,37.0,Male,East,Post-Graduate,Salaried,821515.89,279438.33,Education,696.0,5,203,81.58,2021-04-06,1
60,,Female,East,Primary,,,257792.23,Business,,3,259,39.03,2020-07-06,1
61,41.0,Other,North,Primary,Unemployed,691649.56,159018.03,Car,638.0,3,141,29.03,2025-10-19,0
62,32.0,Other,East,Secondary,Self-Employed,335196.62,220461.36,Home,616.0,1,20,55.43,2020-12-04,0
63,42.0,Male,East,Graduate,Salaried,461587.67,120318.32,Business,837.0,0,268,50.9,2023-09-05,0
64,34.0,Other,East,Primary,Unemployed,608815.89,427703.14,Other,630.0,2,146,88.54,2026-04-28,1
65,43.0,Female,North,Secondary,Self-Employed,221202.23,505031.14,Home,811.0,0,26,68.41,2021-09-27,0
66,45.0,Male,South,Graduate,Self-Employed,537740.99,761832.12,Other,769.0,0,246,43.76,2022-02-03,0
67,37.0,Male,East,Secondary,Unemployed,407228.36,386426.19,Education,775.0,0,145,20.18,2023-08-04,0
68,54.0,Other,West,Graduate,Salaried,655834.04,247532.44,Home,511.0,2,247,55.65,2020-08-19,1
69,42.0,Other,West,Graduate,Salaried,1121119.31,508635.52,Home,519.0,3,248,89.36,2019-05-31,1
70,29.0,Female,South,Graduate,Salaried,866864.04,207436.44,Business,579.0,2,114,14.73,2026-03-22,1
71,35.0,Other,West,Primary,Salaried,612130.41,175357.48,Home,701.0,0,239,87.98,2017-09-04,1
72,28.0,Other,South,Primary,Self-Employed,587440.47,213484.3,Other,740.0,1,213,57.32,2024-07-19,0
73,33.0,Other,South,Post-Graduate,Salaried,910492.65,287135.52,Home,607.0,4,158,89.22,2019-01-27,1
74,33.0,Female,East,Primary,Self-Employed,759655.91,202224.58,Car,683.0,1,157,94.15,2024-10-12,1
75,64.0,Other,South,Primary,Self-Employed,454354.77,339135.97,Other,674.0,2,88,80.6,2020-07-29,1
76,42.0,Female,South,Secondary,Salaried,344045.37,402594.25,Car,668.0,2,20,73.0,2019-05-19,0
77,,Female,North,Secondary,,,404452.67,Education,,1,97,54.46,2024-11-02,0
78,53.0,Female,South,Graduate,Salaried,718873.41,423036.86,Home,543.0,4,42,47.29,2020-09-17,1
79,28.0,Female,North,Post-Graduate,Salaried,681731.84,267134.92,Car,746.0,2,153,38.29,2019-12-02,0
80,22.0,Female,East,Graduate,Salaried,80000.0,167718.17,Car,721.0,6,273,27.39,2024-02-02,1
81,35.0,Male,South,Post-Graduate,Self-Employed,719744.96,350049.32,Education,763.0,0,247,48.85,2026-04-29,0
82,56.0,Male,East,Graduate,Unemployed,472495.9,233356.01,Other,710.0,2,114,60.87,2024-12-07,0
83,38.0,Female,East,Primary,Salaried,191945.48,342144.65,Education,595.0,3,237,59.83,2022-09-26,1
84,29.0,Male,East,Primary,Salaried,471771.41,269573.07,Other,683.0,6,111,41.83,2018-10-31,1
85,60.0,Female,East,Graduate,Self-Employed,998296.66,223317.65,Other,600.0,2,20,83.94,2024-02-11,1
86,45.0,Other,North,Post-Graduate,Unemployed,568553.27,62488.99,Car,793.0,2,173,38.35,2024-06-26,0
87,44.0,Female,North,Post-Graduate,Salaried,211062.51,20000.0,Other,692.0,0,270,21.97,2017-05-22,0
88,63.0,Other,South,Graduate,Self-Employed,793868.14,120859.44,Home,702.0,0,180,40.8,2025-07-23,0
89,39.0,Other,East,Graduate,Unemployed,345701.96,377500.4,Home,616.0,3,234,46.28,2025-04-28,0
90,22.0,Other,East,Graduate,Unemployed,558866.09,232795.93,Business,510.0,3,276,75.92,2019-02-11,1
91,59.0,Female,West,Graduate,Unemployed,216330.38,719404.91,Car,807.0,0,283,83.25,2018-05-11,1
92,43.0,Male,West,Post-Graduate,Unemployed,595519.11,175701.29,Car,753.0,6,266,31.58,2025-03-28,1
93,52.0,Other,East,Post-Graduate,Unemployed,624686.44,280448.23,Home,720.0,1,115,94.04,2022-01-20,1
94,38.0,Female,East,Secondary,Self-Employed,336685.32,335197.8,Other,700.0,2,242,37.54,2018-01-29,0
95,32.0,Other,East,Post-Graduate,Self-Employed,681533.26,112332.96,Business,753.0,2,214,60.18,2020-06-03,0
96,50.0,Other,South,Post-Graduate,Unemployed,553774.47,228670.42,Car,761.0,3,299,19.71,2023-03-16,0
97,,Other,North,Graduate,,,295356.26,Other,,0,33,73.04,2020-11-10,0
98,49.0,Female,North,Secondary,Unemployed,936511.05,97772.19,Education,739.0,1,23,21.24,2016-08-11,0
99,62.0,Male,South,Secondary,Salaried,465060.08,183254.29,Home,695.0,2,95,27.55,2018-04-15,0
100,27.0,Male,West,Primary,Self-Employed,355406.81,236367.67,Business,628.0,2,256,66.53,2026-04-08,0
101,46.0,Other,South,Post-Graduate,Self-Employed,896544.55,338570.72,Business,792.0,3,200,61.27,2020-06-11,0
102,,Male,South,Primary,,,423662.31,Business,,5,269,12.65,2022-03-14,1
103,63.0,Male,South,Post-Graduate,Salaried,670889.52,257907.6,Other,709.0,2,148,52.12,2022-05-12,0
104,50.0,Male,North,Post-Graduate,Salaried,337792.92,158296.4,Business,850.0,0,248,10.2,2026-03-13,0
105,28.0,Other,East,Post-Graduate,Unemployed,846430.68,210830.32,Other,697.0,0,99,84.2,2019-08-09,1
106,30.0,Female,West,Secondary,Unemployed,1086467.82,492679.96,Business,735.0,6,45,13.35,2020-07-02,1
107,51.0,Female,East,Secondary,Unemployed,287250.92,690896.62,Education,621.0,2,234,77.6,2017-11-02,1
108,64.0,Other,West,Secondary,Self-Employed,509634.82,304247.76,Business,682.0,2,178,41.0,2023-09-18,0
109,62.0,Male,East,Secondary,Self-Employed,339378.78,491689.02,Education,659.0,2,229,54.21,2024-04-12,0
110,52.0,Female,North,Secondary,Salaried,633746.18,267284.42,Car,759.0,2,288,54.96,2025-03-21,0
111,23.0,Female,South,Secondary,Salaried,1249426.16,202444.36,Business,625.0,0,84,30.3,2024-08-15,0
112,44.0,Female,East,Post-Graduate,Self-Employed,219688.78,20797.66,Home,656.0,3,92,19.3,2016-09-29,0
113,30.0,Male,West,Post-Graduate,Unemployed,437862.04,420278.6,Home,701.0,5,91,90.13,2017-08-31,1
114,25.0,Other,West,Post-Graduate,Salaried,612576.63,280768.27,Education,639.0,0,278,80.23,2019-09-13,1
115,34.0,Female,West,Post-Graduate,Unemployed,955126.06,214388.06,Other,613.0,2,108,60.4,2017-03-26,0
116,45.0,Other,South,Post-Graduate,Salaried,717853.89,280041.29,Education,770.0,1,48,85.54,2019-07-10,1
117,46.0,Female,West,Primary,Self-Employed,726683.67,269893.06,Education,607.0,1,270,71.49,2022-03-22,0
118,52.0,Other,West,Secondary,Self-Employed,843712.57,382660.16,Car,683.0,0,100,15.23,2021-01-09,0
119,61.0,Other,North,Post-Graduate,Unemployed,826873.69,305384.18,Other,829.0,5,78,83.72,2017-12-30,1
120,27.0,Other,North,Primary,Unemployed,805120.61,124665.56,Business,620.0,1,174,73.98,2017-12-15,0
121,49.0,Male,West,Secondary,Salaried,860051.48,285786.99,Education,698.0,0,277,80.73,2019-05-25,1
122,37.0,Female,East,Secondary,Self-Employed,561882.16,182685.65,Education,630.0,0,174,93.4,2025-11-01,1
123,48.0,Female,West,Graduate,Self-Employed,529222.75,167695.9,Education,648.0,0,252,91.85,2018-10-30,1
124,56.0,Male,West,Primary,Unemployed,432392.11,391184.48,Other,694.0,0,215,24.77,2024-07-05,0
125,49.0,Male,East,Secondary,Unemployed,553406.9,239300.13,Home,650.0,2,229,84.08,2025-05-10,1
126,35.0,Other,North,Primary,Salaried,643659.82,603060.29,Car,620.0,2,52,37.51,2017-08-04,0
127,49.0,Male,South,Secondary,Salaried,458079.06,409682.32,Business,734.0,0,58,54.8,2026-03-14,0
128,47.0,Other,North,Secondary,Self-Employed,587992.62,146815.08,Education,736.0,0,103,65.63,2024-06-16,0
129,35.0,Female,South,Primary,Salaried,138306.89,214999.59,Education,773.0,2,299,41.32,2022-11-11,0
130,35.0,Male,North,Graduate,Unemployed,367666.95,677331.93,Business,547.0,1,112,76.01,2021-11-22,1
131,37.0,Female,South,Primary,Unemployed,1006629.87,20000.0,Car,721.0,2,241,19.97,2025-06-16,0
132,22.0,Male,East,Primary,Unemployed,535797.42,86081.17,Home,728.0,1,233,59.47,2025-10-25,0
133,31.0,Female,West,Graduate,Salaried,441348.74,449362.84,Other,657.0,0,114,71.36,2021-11-09,0
134,61.0,Other,East,Primary,Self-Employed,593652.74,417870.02,Business,714.0,1,233,73.68,2019-06-02,0
135,61.0,Male,West,Graduate,Unemployed,599099.37,126245.3,Business,800.0,1,21,55.41,2024-01-17,0
136,59.0,Other,South,Post-Graduate,Salaried,819340.57,259622.08,Other,673.0,0,122,21.28,2017-06-22,0
137,,Other,East,Post-Graduate,,,153185.0,Business,,0,142,12.68,2022-07-11,0
138,27.0,Other,East,Graduate,Salaried,633195.17,521377.99,Home,801.0,4,130,79.26,2025-02-25,1
139,31.0,Female,West,Secondary,Self-Employed,762852.32,596481.64,Other,788.0,1,207,72.19,2024-12-25,0
140,,Other,West,Graduate,,,397542.24,Business,,3,257,38.64,2018-01-15,0
141,49.0,Female,South,Post-Graduate,Salaried,553485.87,456414.78,Education,720.0,1,262,67.82,2022-08-23,0
142,24.0,Female,East,Graduate,Unemployed,100647.16,98297.19,Education,650.0,3,43,46.17,2017-08-17,0
143,54.0,Other,North,Secondary,Salaried,818445.76,415218.58,Car,850.0,2,247,84.24,2022-09-11,1
144,60.0,Other,West,Post-Graduate,Unemployed,686850.66,389967.58,Car,770.0,2,150,62.95,2018-12-25,0
145,34.0,Other,West,Post-Graduate,Self-Employed,477615.14,393383.45,Home,641.0,3,60,31.01,2020-07-14,0
146,57.0,Male,East,Secondary,Self-Employed,947078.18,20000.0,Car,698.0,1,47,31.94,2024-11-17,0
147,34.0,Female,East,Post-Graduate,Unemployed,604221.26,285935.18,Other,550.0,1,29,16.25,2022-10-18,1
148,63.0,Female,West,Graduate,Self-Employed,986501.04,211304.52,Business,523.0,1,152,31.14,2018-09-06,1
149,40.0,Female,East,Graduate,Salaried,275874.56,73110.67,Home,549.0,3,226,57.44,2018-11-01,1
150,57.0,Other,South,Graduate,Salaried,901422.87,289259.81,Other,677.0,2,138,29.1,2024-12-07,0
151,59.0,Other,South,Secondary,Salaried,552501.4,367258.54,Business,632.0,3,236,64.33,2026-03-08,0
152,36.0,Female,East,Primary,Salaried,602322.94,449701.52,Education,448.0,2,145,36.17,2026-01-03,1
153,54.0,Male,East,Secondary,Self-Employed,615964.08,318088.49,Home,648.0,1,24,91.88,2019-05-04,1
154,36.0,Other,South,Graduate,Salaried,493178.59,284573.38,Home,677.0,3,20,28.33,2018-10-09,0
155,61.0,Other,East,Secondary,Unemployed,726484.96,448553.01,Business,531.0,1,82,93.06,2018-05-23,1
156,24.0,Male,North,Graduate,Self-Employed,835865.96,260705.03,Business,639.0,0,117,44.35,2022-06-09,0
157,21.0,Female,East,Secondary,Salaried,861730.03,385492.55,Education,737.0,2,108,37.91,2022-11-13,0
158,64.0,Female,North,Primary,Self-Employed,758849.23,108296.61,Business,548.0,2,243,41.73,2022-07-10,1
159,54.0,Male,North,Secondary,Salaried,610422.26,265140.13,Other,716.0,6,172,42.32,2022-01-05,1
160,36.0,Female,North,Secondary,Salaried,337748.27,55398.99,Other,693.0,2,40,26.64,2023-08-06,0
161,39.0,Female,South,Post-Graduate,Self-Employed,789732.15,342178.71,Business,688.0,0,296,50.73,2026-02-25,0
162,48.0,Female,West,Graduate,Unemployed,584351.72,294947.02,Other,603.0,1,46,89.02,2017-03-15,1
163,30.0,Male,North,Secondary,Unemployed,121974.21,359525.8,Car,801.0,1,282,67.9,2023-04-21,0
164,27.0,Female,North,Secondary,Salaried,793270.8,218951.67,Car,721.0,2,55,46.08,2022-12-14,0
165,48.0,Other,North,Secondary,Salaried,484592.6,472849.89,Business,599.0,0,137,53.79,2018-04-24,1
166,24.0,Female,West,Graduate,Salaried,617117.84,194701.25,Car,626.0,4,173,31.73,2019-12-07,0
167,25.0,Female,East,Post-Graduate,Salaried,800725.4,215932.78,Car,825.0,0,183,22.72,2025-06-23,0
168,27.0,Female,South,Post-Graduate,Salaried,392951.5,378654.41,Other,621.0,2,162,29.57,2018-08-11,0
169,62.0,Male,South,Graduate,Salaried,215763.01,340162.68,Home,796.0,2,104,67.45,2016-08-30,0
170,58.0,Male,South,Graduate,Unemployed,178672.27,551655.12,Other,635.0,2,38,61.27,2025-03-06,0
171,25.0,Female,West,Primary,Self-Employed,194238.53,384501.82,Education,591.0,1,68,80.71,2020-03-28,1
172,26.0,Other,West,Graduate,Unemployed,422175.34,329425.13,Other,631.0,2,77,38.31,2020-05-02,0
173,50.0,Female,West,Primary,Unemployed,564121.91,220700.7,Home,523.0,1,227,44.81,2024-03-23,1
174,25.0,Female,East,Graduate,Salaried,442767.78,537519.75,Home,655.0,4,134,22.96,2024-07-02,0
175,,Male,North,Graduate,,,414614.41,Home,,0,250,83.5,2020-11-10,1
176,22.0,Male,West,Post-Graduate,Self-Employed,311205.06,114275.58,Car,681.0,0,170,32.36,2020-06-03,0
177,57.0,Other,West,Post-Graduate,Salaried,215887.06,121402.71,Business,684.0,4,162,94.33,2017-10-31,1
178,50.0,Female,West,Graduate,Self-Employed,197288.89,303918.36,Home,482.0,2,177,84.63,2022-11-10,1
179,34.0,Male,East,Post-Graduate,Unemployed,424234.28,365095.11,Business,726.0,1,149,29.01,2025-07-04,0
180,21.0,Female,West,Primary,Self-Employed,469399.47,307580.37,Home,693.0,1,183,61.54,2017-03-07,0
181,41.0,Female,East,Graduate,Salaried,947551.89,383671.55,Business,680.0,1,136,20.35,2023-10-03,0
182,26.0,Other,North,Post-Graduate,Self-Employed,272040.94,308497.49,Home,722.0,2,39,47.36,2017-06-28,0
183,51.0,Male,East,Post-Graduate,Unemployed,185891.78,488465.45,Business,771.0,1,286,74.11,2022-04-12,0
184,27.0,Male,South,Graduate,Unemployed,96100.14,215452.65,Car,647.0,0,209,32.56,2025-05-30,0
185,57.0,Female,West,Post-Graduate,Salaried,502955.8,325562.43,Home,692.0,3,143,82.08,2023-12-27,1
186,27.0,Other,South,Secondary,Self-Employed,600761.51,280723.88,Other,759.0,1,111,50.94,2017-04-24,0
187,43.0,Male,West,Primary,Salaried,819660.88,414329.76,Home,677.0,1,98,59.48,2025-05-19,0
188,38.0,Female,North,Secondary,Self-Employed,556421.57,316326.84,Education,590.0,1,261,63.49,2021-10-06,1
189,38.0,Other,East,Post-Graduate,Self-Employed,253013.48,185663.78,Business,679.0,1,215,83.5,2026-04-28,1
190,29.0,Male,West,Secondary,Self-Employed,1154605.36,20000.0,Car,644.0,3,124,18.68,2017-12-08,0
191,35.0,Other,South,Primary,Self-Employed,550548.83,243036.4,Business,672.0,3,233,64.12,2024-01-16,0
192,33.0,Female,East,Primary,Self-Employed,638179.47,281431.56,Education,758.0,1,106,67.82,2019-11-01,0
193,52.0,Other,West,Secondary,Self-Employed,873267.15,386305.44,Other,485.0,5,280,56.72,2018-10-01,1
194,28.0,Female,East,Graduate,Unemployed,646441.87,281109.15,Other,622.0,0,239,86.41,2023-08-27,1
195,45.0,Female,West,Graduate,Salaried,751782.78,496673.83,Car,579.0,0,97,15.89,2025-04-13,1
196,36.0,Other,West,Secondary,Self-Employed,474384.38,212496.3,Home,683.0,4,200,88.23,2021-05-21,1
197,42.0,Female,West,Post-Graduate,Self-Employed,734574.02,460876.1,Car,650.0,2,143,43.04,2018-08-25,0
198,59.0,Female,North,Secondary,Unemployed,390197.58,347256.07,Other,666.0,2,141,79.36,2025-08-03,1
199,,Female,North,Post-Graduate,,,177953.2,Other,,3,105,74.02,2020-06-27,0
200,42.0,Female,North,Secondary,Self-Employed,564989.29,285844.24,Car,673.0,2,107,39.1,2019-09-28,0
201,21.0,Male,West,Graduate,Self-Employed,1175102.52,461314.96,Other,528.0,5,205,10.79,2019-01-23,1
202,59.0,Other,West,Primary,Self-Employed,619607.35,380869.82,Other,707.0,1,29,73.1,2025-05-10,0
203,40.0,Female,East,Post-Graduate,Unemployed,986131.5,441779.06,Home,734.0,4,140,91.44,2020-06-25,1
204,44.0,Other,North,Secondary,Unemployed,80000.0,166876.17,Education,645.0,3,151,71.38,2020-07-28,0
205,36.0,Male,North,Post-Graduate,Salaried,485465.75,246342.42,Home,648.0,3,22,15.51,2025-05-11,0
206,38.0,Female,South,Graduate,Salaried,497043.46,410139.14,Home,600.0,0,43,67.5,2023-03-04,0
207,58.0,Female,North,Graduate,Self-Employed,523411.63,309839.08,Education,767.0,1,95,76.72,2019-11-15,1
208,38.0,Female,South,Secondary,Unemployed,244753.86,382990.9,Business,640.0,2,132,46.89,2022-02-03,0
209,47.0,Other,South,Secondary,Salaried,454340.78,274312.62,Home,729.0,2,217,64.08,2017-03-24,0
210,33.0,Other,West,Secondary,Self-Employed,774562.48,427514.1,Other,750.0,2,157,38.43,2022-12-21,0
211,,Male,South,Post-Graduate,,,551332.11,Education,,2,54,46.52,2022-06-22,0
212,59.0,Female,East,Primary,Self-Employed,783723.38,244675.47,Education,712.0,3,279,14.24,2019-08-09,0
213,40.0,Other,South,Primary,Self-Employed,80000.0,275864.26,Education,752.0,1,207,43.9,2026-04-30,0
214,48.0,Other,East,Post-Graduate,Unemployed,794527.3,353022.44,Education,689.0,0,125,33.99,2023-06-24,0
215,40.0,Female,East,Secondary,Self-Employed,361484.56,156959.31,Business,594.0,2,247,12.86,2020-07-20,1
216,35.0,Male,South,Post-Graduate,Unemployed,115870.32,457958.61,Education,842.0,1,26,17.35,2024-01-09,0
217,39.0,Other,East,Graduate,Salaried,616747.68,377390.88,Business,554.0,3,237,26.25,2023-06-24,1
218,62.0,Female,North,Primary,Unemployed,467736.83,346059.68,Business,669.0,2,136,29.15,2026-02-05,0
219,42.0,Female,South,Graduate,Salaried,665973.61,211428.29,Car,709.0,1,62,15.75,2026-04-19,0
220,22.0,Other,East,Secondary,Unemployed,608786.97,626060.76,Home,755.0,2,24,90.38,2016-08-15,1
221,52.0,Other,North,Graduate,Self-Employed,1008163.12,260863.16,Home,755.0,0,78,49.04,2026-01-21,0
222,42.0,Other,East,Secondary,Salaried,427692.73,193644.94,Education,639.0,2,251,84.62,2019-06-01,1
223,55.0,Female,West,Secondary,Salaried,475625.34,196724.47,Car,686.0,3,63,55.79,2024-07-27,0
224,48.0,Other,East,Graduate,Salaried,759695.77,344812.94,Education,619.0,4,93,17.99,2022-11-17,0
225,36.0,Female,East,Graduate,Salaried,397196.7,440146.46,Business,763.0,2,287,24.11,2022-01-30,0
226,50.0,Male,South,Secondary,Unemployed,254864.16,249783.7,Business,647.0,2,126,36.62,2026-01-30,0
227,48.0,Other,East,Primary,Self-Employed,416049.02,330550.81,Home,695.0,4,288,37.46,2020-02-03,0
228,24.0,Female,North,Post-Graduate,Self-Employed,660309.53,271928.36,Education,758.0,1,44,17.91,2018-05-26,0
229,64.0,Other,West,Graduate,Salaried,744908.29,348869.45,Car,695.0,2,153,70.37,2023-05-25,0
230,46.0,Female,North,Graduate,Unemployed,511708.43,100809.52,Car,766.0,3,296,19.6,2023-01-22,0
231,35.0,Other,North,Post-Graduate,Unemployed,540266.98,244976.34,Education,648.0,4,127,50.06,2017-05-16,0
232,29.0,Other,West,Primary,Salaried,369397.45,226635.78,Home,703.0,1,66,24.86,2023-12-20,0
233,34.0,Male,East,Post-Graduate,Salaried,816961.74,243287.08,Home,632.0,0,136,44.71,2018-08-16,0
234,53.0,Male,South,Post-Graduate,Self-Employed,296880.74,270189.14,Education,704.0,1,226,32.12,2018-10-30,0
235,34.0,Other,West,Secondary,Self-Employed,505167.52,129199.81,Home,574.0,1,166,93.03,2024-09-21,1
236,,Female,West,Graduate,,,243352.37,Education,,1,121,33.8,2021-08-02,0
237,56.0,Male,West,Post-Graduate,Salaried,810853.58,374281.94,Education,683.0,3,139,69.81,2024-09-13,0
238,55.0,Male,East,Graduate,Salaried,638578.96,266480.1,Business,652.0,0,108,80.09,2018-07-17,1
239,36.0,Female,South,Primary,Self-Employed,786351.05,167112.6,Home,627.0,3,139,25.75,2022-07-13,0
240,41.0,Other,South,Primary,Salaried,637187.72,410145.7,Education,628.0,0,54,32.76,2019-10-28,0
241,24.0,Male,South,Secondary,Salaried,416553.01,305409.51,Other,707.0,0,220,87.32,2021-01-10,1
242,49.0,Male,South,Secondary,Self-Employed,890877.19,222313.1,Car,699.0,2,166,85.86,2025-03-18,1
243,23.0,Other,North,Graduate,Salaried,4790212.7,1037085.32,Car,792.0,0,279,42.68,2023-06-21,0
244,32.0,Other,East,Secondary,Salaried,877263.51,363635.14,Home,691.0,4,172,10.25,2018-07-21,0
245,40.0,Male,North,Graduate,Salaried,801641.04,330907.43,Other,665.0,2,161,61.92,2024-12-20,0
246,40.0,Female,North,Secondary,Self-Employed,201799.3,312365.96,Home,563.0,0,209,80.83,2020-12-29,1
247,37.0,Male,West,Primary,Unemployed,522697.73,187176.54,Home,705.0,3,56,34.19,2019-05-28,0
